метрика,значение
точность на обучающей выборке,0.9961
точность на валидационной выборке,0.9955
точность на тестовой выборке,0.9959
финальная функция потерь (train),0.0091
финальная функция потерь (val),0.0071
количество эпох обучения,15
размер модели (параметры),"2,529,120"
размер словаря,"3,323"
